"object","property","value"
"AA.PRD.PRF.ACTIVITY.API>PR.ATTRIBUTE|AA.PERIODIC.ATTRIBUTE","type","strong"
"AA.PRD.PRF.ACTIVITY.API>PR.VALUE",,
"AA.PRD.PRF.ACTIVITY.API>PR.BRK.RES",,
"AA.PRD.PRF.ACTIVITY.API>PR.BRK.MSG",,
"AA.PRD.PRF.ACTIVITY.API>PR.BRK.CHARGE|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.API>PR.RESERVED.3",,
"AA.PRD.PRF.ACTIVITY.API>PR.RESERVED.2",,
"AA.PRD.PRF.ACTIVITY.API>PR.RESERVED.1",,
"AA.PRD.PRF.ACTIVITY.API>PR.APP.METHOD",,
"AA.PRD.PRF.ACTIVITY.API>PR.APP.PERIOD",,
"AA.PRD.PRF.ACTIVITY.API>SYS.RESERVE7",,
"AA.PRD.PRF.ACTIVITY.API>SYS.RESERVE6",,
"AA.PRD.PRF.ACTIVITY.API>SYS.RESERVE4",,
"AA.PRD.PRF.ACTIVITY.API>SYS.RESERVE3",,
"AA.PRD.PRF.ACTIVITY.API>SYS.RESERVE2",,
"AA.PRD.PRF.ACTIVITY.API>SYS.RESERVE1",,
"AA.PRD.PRF.ACTIVITY.API>DEFAULT.ATTR.OPTION",,
"AA.PRD.PRF.ACTIVITY.API>DEFAULT.NEGOTIABLE",,
"AA.PRD.PRF.ACTIVITY.API>NR.ATTRIBUTE",,
"AA.PRD.PRF.ACTIVITY.API>NR.OPTIONS",,
"AA.PRD.PRF.ACTIVITY.API>NR.STD.COMP|EB.STANDARD.COMPARISON","type","strong"
"AA.PRD.PRF.ACTIVITY.API>NR.TYPE|EB.COMPARISON.TYPE","type","strong"
"AA.PRD.PRF.ACTIVITY.API>NR.VALUE",,
"AA.PRD.PRF.ACTIVITY.API>NR.MESSAGE",,
"AA.PRD.PRF.ACTIVITY.API>CHANGED.FIELDS",,
"AA.PRD.PRF.ACTIVITY.API>NEGOTIATED.FLDS",,
"AA.PRD.PRF.ACTIVITY.API>ID.COMP.1",,
"AA.PRD.PRF.ACTIVITY.API>ID.COMP.2",,
"AA.PRD.PRF.ACTIVITY.API>ID.COMP.3",,
"AA.PRD.PRF.ACTIVITY.API>ID.COMP.4",,
"AA.PRD.PRF.ACTIVITY.API>ID.COMP.5",,
"AA.PRD.PRF.ACTIVITY.API>ID.COMP.6",,
"AA.PRD.PRF.ACTIVITY.API>TARGET.PRODUCT",,
"AA.PRD.PRF.ACTIVITY.API>STMT.NOS",,
"AA.PRD.PRF.ACTIVITY.API>PRE.VALIDATE.RTN|EB.API","type","strong"
"AA.PRD.PRF.ACTIVITY.API>FULL.DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.API>OWNING.COMPANY|COMPANY","type","strong"
"AA.PRD.PRF.ACTIVITY.API>NR.ATTRIBUTE.RULE",,
"AA.PRD.PRF.ACTIVITY.API>NR.VALUE.SOURCE",,
"AA.PRD.PRF.ACTIVITY.CHARGES>@ID",,
"AA.PRD.PRF.ACTIVITY.CHARGES>DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.CHARGES>ACTIVITY.ID|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.CHARGES>CHARGE|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.CHARGES>APP.PERIOD",,
"AA.PRD.PRF.ACTIVITY.CHARGES>APP.METHOD",,
"AA.PRD.PRF.ACTIVITY.CHARGES>SETTLE.ACTIVITY|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.CHARGES>AUTO.SETTLE",,
"AA.PRD.PRF.ACTIVITY.CHARGES>PR.ATTRIBUTE|AA.PERIODIC.ATTRIBUTE","type","strong"
"AA.PRD.PRF.ACTIVITY.CHARGES>PR.VALUE",,
"AA.PRD.PRF.ACTIVITY.CHARGES>PR.BRK.RES",,
"AA.PRD.PRF.ACTIVITY.CHARGES>PR.BRK.MSG",,
"AA.PRD.PRF.ACTIVITY.CHARGES>PR.BRK.CHARGE|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.CHARGES>PR.RESERVED.3",,
"AA.PRD.PRF.ACTIVITY.CHARGES>PR.RESERVED.2",,
"AA.PRD.PRF.ACTIVITY.CHARGES>PR.RESERVED.1",,
"AA.PRD.PRF.ACTIVITY.CHARGES>PR.APP.METHOD",,
"AA.PRD.PRF.ACTIVITY.CHARGES>PR.APP.PERIOD",,
"AA.PRD.PRF.ACTIVITY.CHARGES>SYS.RESERVE7",,
"AA.PRD.PRF.ACTIVITY.CHARGES>SYS.RESERVE6",,
"AA.PRD.PRF.ACTIVITY.CHARGES>SYS.RESERVE4",,
"AA.PRD.PRF.ACTIVITY.CHARGES>SYS.RESERVE3",,
"AA.PRD.PRF.ACTIVITY.CHARGES>SYS.RESERVE2",,
"AA.PRD.PRF.ACTIVITY.CHARGES>SYS.RESERVE1",,
"AA.PRD.PRF.ACTIVITY.CHARGES>DEFAULT.ATTR.OPTION",,
"AA.PRD.PRF.ACTIVITY.CHARGES>DEFAULT.NEGOTIABLE",,
"AA.PRD.PRF.ACTIVITY.CHARGES>NR.ATTRIBUTE",,
"AA.PRD.PRF.ACTIVITY.CHARGES>NR.OPTIONS",,
"AA.PRD.PRF.ACTIVITY.CHARGES>NR.STD.COMP|EB.STANDARD.COMPARISON","type","strong"
"AA.PRD.PRF.ACTIVITY.CHARGES>NR.TYPE|EB.COMPARISON.TYPE","type","strong"
"AA.PRD.PRF.ACTIVITY.CHARGES>NR.VALUE",,
"AA.PRD.PRF.ACTIVITY.CHARGES>NR.MESSAGE",,
"AA.PRD.PRF.ACTIVITY.CHARGES>CHANGED.FIELDS",,
"AA.PRD.PRF.ACTIVITY.CHARGES>NEGOTIATED.FLDS",,
"AA.PRD.PRF.ACTIVITY.CHARGES>ID.COMP.1",,
"AA.PRD.PRF.ACTIVITY.CHARGES>ID.COMP.2",,
"AA.PRD.PRF.ACTIVITY.CHARGES>ID.COMP.3",,
"AA.PRD.PRF.ACTIVITY.CHARGES>ID.COMP.4",,
"AA.PRD.PRF.ACTIVITY.CHARGES>ID.COMP.5",,
"AA.PRD.PRF.ACTIVITY.CHARGES>ID.COMP.6",,
"AA.PRD.PRF.ACTIVITY.CHARGES>TARGET.PRODUCT",,
"AA.PRD.PRF.ACTIVITY.CHARGES>STMT.NOS",,
"AA.PRD.PRF.ACTIVITY.CHARGES>CHARGE.AUTO.SETTLE",,
"AA.PRD.PRF.ACTIVITY.CHARGES>SYS.ACTIVITY.ID|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.CHARGES>SYS.CHARGE|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.CHARGES>SYS.APP.METHOD",,
"AA.PRD.PRF.ACTIVITY.CHARGES>SYS.AUTO.SETTLE",,
"AA.PRD.PRF.ACTIVITY.CHARGES>FULL.DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.CHARGES>OWNING.COMPANY|COMPANY","type","strong"
"AA.PRD.PRF.ACTIVITY.CHARGES>NR.ATTRIBUTE.RULE",,
"AA.PRD.PRF.ACTIVITY.CHARGES>NR.VALUE.SOURCE",,
"AA.PRD.PRF.ACTIVITY.MAPPING>@ID",,
"AA.PRD.PRF.ACTIVITY.MAPPING>DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.MAPPING>FULL.DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.MAPPING>TRANSACTION|TRANSACTION","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>TXN.SERVICE.GROUP",,
"AA.PRD.PRF.ACTIVITY.MAPPING>TXN.ACTIVITY|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>DEF.CR.ACTIVITY|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>DEF.DB.ACTIVITY|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>DEF.CR.SERVICE.GROUP",,
"AA.PRD.PRF.ACTIVITY.MAPPING>DEF.DB.SERVICE.GROUP",,
"AA.PRD.PRF.ACTIVITY.MAPPING>EVENT.REF|TEC.ITEMS","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>EVENT.ACTIVITY|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>EVENT.SERVICE.GROUP",,
"AA.PRD.PRF.ACTIVITY.MAPPING>DEF.EVENT.ACTIVITY|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>DEF.EVENT.SERVICE.GROUP",,
"AA.PRD.PRF.ACTIVITY.MAPPING>PR.ATTRIBUTE|AA.PERIODIC.ATTRIBUTE","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>PR.VALUE",,
"AA.PRD.PRF.ACTIVITY.MAPPING>PR.BRK.RES",,
"AA.PRD.PRF.ACTIVITY.MAPPING>PR.BRK.MSG",,
"AA.PRD.PRF.ACTIVITY.MAPPING>PR.BRK.CHARGE|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>PR.RESERVED.3",,
"AA.PRD.PRF.ACTIVITY.MAPPING>PR.RESERVED.2",,
"AA.PRD.PRF.ACTIVITY.MAPPING>PR.RESERVED.1",,
"AA.PRD.PRF.ACTIVITY.MAPPING>PR.APP.METHOD",,
"AA.PRD.PRF.ACTIVITY.MAPPING>PR.APP.PERIOD",,
"AA.PRD.PRF.ACTIVITY.MAPPING>SYS.RESERVE7",,
"AA.PRD.PRF.ACTIVITY.MAPPING>SYS.RESERVE6",,
"AA.PRD.PRF.ACTIVITY.MAPPING>OWNING.COMPANY|COMPANY","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>SYS.RESERVE4",,
"AA.PRD.PRF.ACTIVITY.MAPPING>SYS.RESERVE3",,
"AA.PRD.PRF.ACTIVITY.MAPPING>SYS.RESERVE2",,
"AA.PRD.PRF.ACTIVITY.MAPPING>SYS.RESERVE1",,
"AA.PRD.PRF.ACTIVITY.MAPPING>DEFAULT.ATTR.OPTION",,
"AA.PRD.PRF.ACTIVITY.MAPPING>DEFAULT.NEGOTIABLE",,
"AA.PRD.PRF.ACTIVITY.MAPPING>NR.ATTRIBUTE",,
"AA.PRD.PRF.ACTIVITY.MAPPING>NR.OPTIONS",,
"AA.PRD.PRF.ACTIVITY.MAPPING>NR.STD.COMP|EB.STANDARD.COMPARISON","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>NR.TYPE|EB.COMPARISON.TYPE","type","strong"
"AA.PRD.PRF.ACTIVITY.MAPPING>NR.VALUE",,
"AA.PRD.PRF.ACTIVITY.MAPPING>NR.MESSAGE",,
"AA.PRD.PRF.ACTIVITY.MAPPING>CHANGED.FIELDS",,
"AA.PRD.PRF.ACTIVITY.MAPPING>NEGOTIATED.FLDS",,
"AA.PRD.PRF.ACTIVITY.MAPPING>ID.COMP.1",,
"AA.PRD.PRF.ACTIVITY.MAPPING>ID.COMP.2",,
"AA.PRD.PRF.ACTIVITY.MAPPING>ID.COMP.3",,
"AA.PRD.PRF.ACTIVITY.MAPPING>ID.COMP.4",,
"AA.PRD.PRF.ACTIVITY.MAPPING>ID.COMP.5",,
"AA.PRD.PRF.ACTIVITY.MAPPING>ID.COMP.6",,
"AA.PRD.PRF.ACTIVITY.MAPPING>TARGET.PRODUCT",,
"AA.PRD.PRF.ACTIVITY.MAPPING>STMT.NOS",,
"AA.PRD.PRF.ACTIVITY.MAPPING>NR.ATTRIBUTE.RULE",,
"AA.PRD.PRF.ACTIVITY.MAPPING>NR.VALUE.SOURCE",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>@ID",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>ADVICE|EB.ADVICES","type","strong"
"AA.PRD.PRF.ACTIVITY.MESSAGING>ACTIVITY.CLASS|AA.ACTIVITY.CLASS","type","strong"
"AA.PRD.PRF.ACTIVITY.MESSAGING>ACTIVITY.ID|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.MESSAGING>MSG.CONTENT",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>SEND.ADVICE",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>PRE.NOTICE.ACTIVITY|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.MESSAGING>PRE.NOTICE.DAYS",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>PR.ATTRIBUTE|AA.PERIODIC.ATTRIBUTE","type","strong"
"AA.PRD.PRF.ACTIVITY.MESSAGING>PR.VALUE",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>PR.BRK.RES",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>PR.BRK.MSG",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>PR.BRK.CHARGE|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.MESSAGING>PR.RESERVED.3",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>PR.RESERVED.2",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>PR.RESERVED.1",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>PR.APP.METHOD",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>PR.APP.PERIOD",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>SYS.RESERVE7",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>SYS.RESERVE6",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>SYS.RESERVE4",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>SYS.RESERVE3",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>SYS.RESERVE2",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>SYS.RESERVE1",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>DEFAULT.ATTR.OPTION",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>DEFAULT.NEGOTIABLE",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>NR.ATTRIBUTE",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>NR.OPTIONS",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>NR.STD.COMP|EB.STANDARD.COMPARISON","type","strong"
"AA.PRD.PRF.ACTIVITY.MESSAGING>NR.TYPE|EB.COMPARISON.TYPE","type","strong"
"AA.PRD.PRF.ACTIVITY.MESSAGING>NR.VALUE",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>NR.MESSAGE",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>CHANGED.FIELDS",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>NEGOTIATED.FLDS",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>ID.COMP.1",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>ID.COMP.2",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>ID.COMP.3",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>ID.COMP.4",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>ID.COMP.5",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>ID.COMP.6",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>TARGET.PRODUCT",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>STMT.NOS",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>FULL.DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>OWNING.COMPANY|COMPANY","type","strong"
"AA.PRD.PRF.ACTIVITY.MESSAGING>NR.ATTRIBUTE.RULE",,
"AA.PRD.PRF.ACTIVITY.MESSAGING>NR.VALUE.SOURCE",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>@ID",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PROPERTY.CLASS|AA.PROPERTY.CLASS","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>CLASS.VERSION|VERSION","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>CLASS.SIM.VER|VERSION","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PROPERTY|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PROP.VERSION|VERSION","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PROP.SIM.VER|VERSION","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>ACTIVITY.ID|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>ACT.PROPERTY|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>ACT.VERSION|VERSION","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>ACT.SIM.VER|VERSION","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>SUPPRESS.SEE.MODE",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PR.ATTRIBUTE|AA.PERIODIC.ATTRIBUTE","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PR.VALUE",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PR.BRK.RES",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PR.BRK.MSG",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PR.BRK.CHARGE|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PR.RESERVED.3",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PR.RESERVED.2",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PR.RESERVED.1",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PR.APP.METHOD",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>PR.APP.PERIOD",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>SYS.RESERVE7",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>SYS.RESERVE6",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>SYS.RESERVE4",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>SYS.RESERVE3",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>SYS.RESERVE2",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>SYS.RESERVE1",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>DEFAULT.ATTR.OPTION",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>DEFAULT.NEGOTIABLE",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>NR.ATTRIBUTE",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>NR.OPTIONS",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>NR.STD.COMP|EB.STANDARD.COMPARISON","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>NR.TYPE|EB.COMPARISON.TYPE","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>NR.VALUE",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>NR.MESSAGE",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>CHANGED.FIELDS",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>NEGOTIATED.FLDS",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>ID.COMP.1",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>ID.COMP.2",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>ID.COMP.3",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>ID.COMP.4",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>ID.COMP.5",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>ID.COMP.6",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>TARGET.PRODUCT",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>STMT.NOS",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>FULL.DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>OWNING.COMPANY|COMPANY","type","strong"
"AA.PRD.PRF.ACTIVITY.PRESENTATION>NR.ATTRIBUTE.RULE",,
"AA.PRD.PRF.ACTIVITY.PRESENTATION>NR.VALUE.SOURCE",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>@ID",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>RULE.NAME",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PERIODIC.ATTRIBUTE|AA.PERIODIC.ATTRIBUTE","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>RULE.ACTIVITY.CLASS|AA.ACTIVITY.CLASS","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>RULE.ACTIVITY.ID|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>BALANCE.TYPE|AC.BALANCE.TYPE","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PERIODIC.VALUE",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>ACTIVITY.CLASS|AA.ACTIVITY.CLASS","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>ACTIVITY.ID|AA.ACTIVITY","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>RESTRICT",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>RULE.ID",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>RESTRICT.TYPE",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>RESTRICT.OVR|OVERRIDE","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>RESTRICT.ERROR|EB.ERROR","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PROPERTY|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>APP.PERIOD",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>APP.METHOD",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PROPERTY.ID|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PROPERTY.RULE.NAME",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>EVALUATION",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>EVALUATION.RESULT",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>ALT.PROPERTY.ID|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PR.ATTRIBUTE|AA.PERIODIC.ATTRIBUTE","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PR.VALUE",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PR.BRK.RES",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PR.BRK.MSG",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PR.BRK.CHARGE|AA.PROPERTY","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PR.RESERVED.3",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PR.RESERVED.2",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PR.RESERVED.1",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PR.APP.METHOD",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>PR.APP.PERIOD",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>SYS.RESERVE7",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>SYS.RESERVE6",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>SYS.RESERVE4",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>SYS.RESERVE3",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>SYS.RESERVE2",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>SYS.RESERVE1",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>DEFAULT.ATTR.OPTION",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>DEFAULT.NEGOTIABLE",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>NR.ATTRIBUTE",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>NR.OPTIONS",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>NR.STD.COMP|EB.STANDARD.COMPARISON","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>NR.TYPE|EB.COMPARISON.TYPE","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>NR.VALUE",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>NR.MESSAGE",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>CHANGED.FIELDS",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>NEGOTIATED.FLDS",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>ID.COMP.1",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>ID.COMP.2",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>ID.COMP.3",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>ID.COMP.4",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>ID.COMP.5",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>ID.COMP.6",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>TARGET.PRODUCT",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>STMT.NOS",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>WAIVE.REASON",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>FULL.DESCRIPTION",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>OWNING.COMPANY|COMPANY","type","strong"
"AA.PRD.PRF.ACTIVITY.RESTRICTION>NR.ATTRIBUTE.RULE",,
"AA.PRD.PRF.ACTIVITY.RESTRICTION>NR.VALUE.SOURCE",,
"AA.PRD.PRF.AGENT.COMMISSION>@ID",,
"AA.PRD.PRF.AGENT.COMMISSION>DESCRIPTION",,
"AA.PRD.PRF.AGENT.COMMISSION>AGENT.ID|CUSTOMER","type","strong"
"AA.PRD.PRF.AGENT.COMMISSION>AGENT.ARR.ID|AA.ARRANGEMENT","type","strong"
"AA.PRD.PRF.AGENT.COMMISSION>FIXED.AMOUNT",,
"AA.PRD.PRF.AGENT.COMMISSION>MARGIN.OPERAND",,
"AA.PRD.PRF.AGENT.COMMISSION>MARGIN.RATE",,
"AA.PRD.PRF.AGENT.COMMISSION>MARGIN.PERCENT",,
"AA.PRD.PRF.AGENT.COMMISSION>PR.ATTRIBUTE|AA.PERIODIC.ATTRIBUTE","type","strong"
"AA.PRD.PRF.AGENT.COMMISSION>PR.VALUE",,
"AA.PRD.PRF.AGENT.COMMISSION>PR.BRK.RES",,
"AA.PRD.PRF.AGENT.COMMISSION>PR.BRK.MSG",,
"AA.PRD.PRF.AGENT.COMMISSION>PR.BRK.CHARGE|AA.PROPERTY","type","strong"
"AA.PRD.PRF.AGENT.COMMISSION>PR.RESERVED.3",,
"AA.PRD.PRF.AGENT.COMMISSION>PR.RESERVED.2",,
"AA.PRD.PRF.AGENT.COMMISSION>PR.RESERVED.1",,
"AA.PRD.PRF.AGENT.COMMISSION>PR.APP.METHOD",,
"AA.PRD.PRF.AGENT.COMMISSION>PR.APP.PERIOD",,
"AA.PRD.PRF.AGENT.COMMISSION>SYS.RESERVE7",,
"AA.PRD.PRF.AGENT.COMMISSION>SYS.RESERVE6",,
"AA.PRD.PRF.AGENT.COMMISSION>SYS.RESERVE4",,
"AA.PRD.PRF.AGENT.COMMISSION>SYS.RESERVE3",,
"AA.PRD.PRF.AGENT.COMMISSION>SYS.RESERVE2",,
"AA.PRD.PRF.AGENT.COMMISSION>SYS.RESERVE1",,
